"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Regression Tests","Cart and Checkout","Cart navigation","0","0","1","0","0"
"Smoke Tests","Login and Products","Login validation","0","0","2","0","0"
"Regression Tests","Cart and Checkout","Checkout process","0","0","2","0","0"
"Regression Tests","Cart and Checkout","Cart functionality","0","0","2","0","0"
"Smoke Tests","Login and Products","Cart functionality","0","0","1","0","0"
"Smoke Tests","Login and Products","Products page","0","0","1","0","0"
"Smoke Tests","Login and Products","Login functionality","0","0","1","0","0"
"Regression Tests","Cart and Checkout","Checkout validation","0","0","1","0","0"
